session,trial,condition,word,ink_color,labels_order,correct_label,response_label,rt_ms,accuracy,final_grade,outcome,timestamp
1,1,neutral,TREE,red,RGB,R,NR,2000,0,-1,no_response_timeout,2025-09-14T09:24:26.052Z
1,2,neutral,TREE,green,RGB,G,R,945,0,0,response,2025-09-14T09:24:30.901Z
1,3,congruent,BLUE,blue,RGB,B,NR,2000,0,-1,no_response_timeout,2025-09-14T09:24:33.318Z
1,4,incongruent,BLUE,red,RGB,R,NR,2000,0,-1,no_response_timeout,2025-09-14T09:24:38.304Z
1,5,neutral,DOG,green,RGB,G,R,862,0,0,response,2025-09-14T09:24:43.018Z
1,6,congruent,GREEN,green,RGB,G,G,1746,1,1,response,2025-09-14T09:24:45.351Z
1,7,neutral,CAT,blue,RGB,B,B,1480,1,1,response,2025-09-14T09:24:48.585Z
1,8,congruent,RED,red,RGB,R,R,1745,1,1,response,2025-09-14T09:24:51.534Z
1,9,congruent,BLUE,blue,RGB,B,B,1146,1,1,response,2025-09-14T09:24:54.751Z
1,10,neutral,CAT,blue,RGB,B,B,996,1,1,response,2025-09-14T09:24:57.384Z
1,11,neutral,APPLE,green,RGB,G,G,1279,1,1,response,2025-09-14T09:24:59.851Z
1,12,congruent,GREEN,green,RGB,G,G,562,1,1,response,2025-09-14T09:25:02.618Z
1,13,congruent,RED,red,RGB,R,R,1197,1,1,response,2025-09-14T09:25:04.668Z
1,14,incongruent,BLUE,red,RGB,R,R,1079,1,1,response,2025-09-14T09:25:07.351Z
1,15,neutral,TREE,green,RGB,G,G,1796,1,1,response,2025-09-14T09:25:09.918Z
1,16,incongruent,BLUE,green,RGB,G,G,1446,1,1,response,2025-09-14T09:25:13.184Z
1,17,neutral,BIKE,red,RGB,R,R,1613,1,1,response,2025-09-14T09:25:16.101Z
1,18,congruent,RED,red,RGB,R,R,546,1,1,response,2025-09-14T09:25:19.218Z
1,19,congruent,GREEN,green,RGB,G,G,1012,1,1,response,2025-09-14T09:25:21.268Z
1,20,neutral,HOUSE,green,RGB,G,G,1212,1,1,response,2025-09-14T09:25:23.768Z
1,21,congruent,RED,red,RGB,R,R,697,1,1,response,2025-09-14T09:25:26.467Z
1,22,incongruent,RED,blue,RGB,B,B,978,1,1,response,2025-09-14T09:25:28.651Z
1,23,congruent,RED,red,RGB,R,R,646,1,1,response,2025-09-14T09:25:31.117Z
1,24,incongruent,GREEN,red,RGB,R,R,497,1,1,response,2025-09-14T09:25:33.267Z
1,25,incongruent,BLUE,red,RGB,R,R,546,1,1,response,2025-09-14T09:25:35.250Z
1,26,neutral,BOOK,green,RGB,G,G,1946,1,1,response,2025-09-14T09:25:37.284Z
1,27,incongruent,BLUE,red,RGB,R,R,697,1,1,response,2025-09-14T09:25:40.717Z
1,28,congruent,BLUE,blue,RGB,B,B,664,1,1,response,2025-09-14T09:25:42.900Z
1,29,incongruent,RED,green,RGB,G,R,663,0,0,response,2025-09-14T09:25:45.034Z
1,30,incongruent,BLUE,red,RGB,R,R,781,1,1,response,2025-09-14T09:25:47.184Z
2,1,incongruent,BLUE,red,RGB,R,B,1846,0,0,response,2025-09-14T09:25:53.100Z
2,2,congruent,BLUE,blue,RGB,B,B,1313,1,1,response,2025-09-14T09:25:56.450Z
2,3,neutral,BIKE,blue,RGB,B,B,462,1,1,response,2025-09-14T09:25:59.250Z
2,4,incongruent,GREEN,blue,RGB,B,B,430,1,1,response,2025-09-14T09:26:01.200Z
2,5,incongruent,GREEN,blue,RGB,B,B,379,1,1,response,2025-09-14T09:26:03.100Z
2,6,incongruent,BLUE,green,RGB,G,G,949,1,1,response,2025-09-14T09:26:04.967Z
2,7,neutral,DOG,green,RGB,G,G,549,1,1,response,2025-09-14T09:26:07.383Z
2,8,incongruent,RED,blue,RGB,B,B,781,1,1,response,2025-09-14T09:26:09.416Z
2,9,congruent,RED,red,RGB,R,R,730,1,1,response,2025-09-14T09:26:11.667Z
2,10,congruent,RED,red,RGB,R,R,563,1,1,response,2025-09-14T09:26:13.883Z
2,11,neutral,DOG,blue,RGB,B,B,963,1,1,response,2025-09-14T09:26:15.917Z
2,12,congruent,RED,red,RGB,R,R,913,1,1,response,2025-09-14T09:26:18.367Z
2,13,neutral,TREE,red,RGB,R,R,547,1,1,response,2025-09-14T09:26:20.750Z
2,14,incongruent,RED,blue,RGB,B,B,1948,1,1,response,2025-09-14T09:26:22.783Z
2,15,neutral,BOOK,red,RGB,R,R,895,1,1,response,2025-09-14T09:26:26.216Z
2,16,congruent,BLUE,blue,RGB,B,B,714,1,1,response,2025-09-14T09:26:28.583Z
2,17,incongruent,GREEN,blue,RGB,B,B,596,1,1,response,2025-09-14T09:26:30.783Z
2,18,congruent,GREEN,green,RGB,G,G,1029,1,1,response,2025-09-14T09:26:32.866Z
2,19,incongruent,RED,green,RGB,G,G,447,1,1,response,2025-09-14T09:26:35.366Z
2,20,incongruent,GREEN,blue,RGB,B,B,647,1,1,response,2025-09-14T09:26:37.300Z
2,21,neutral,BOOK,blue,RGB,B,B,446,1,1,response,2025-09-14T09:26:39.450Z
2,22,incongruent,RED,green,RGB,G,G,747,1,1,response,2025-09-14T09:26:41.383Z
2,23,incongruent,RED,blue,RGB,B,B,647,1,1,response,2025-09-14T09:26:43.616Z
2,24,incongruent,GREEN,red,RGB,R,R,947,1,1,response,2025-09-14T09:26:45.750Z
2,25,congruent,RED,red,RGB,R,R,696,1,1,response,2025-09-14T09:26:48.166Z
2,26,neutral,DOG,red,RGB,R,R,380,1,1,response,2025-09-14T09:26:50.333Z
2,27,incongruent,RED,blue,RGB,B,B,763,1,1,response,2025-09-14T09:26:52.183Z
2,28,neutral,DOG,red,RGB,R,R,780,1,1,response,2025-09-14T09:26:54.417Z
2,29,incongruent,BLUE,green,RGB,G,G,1930,1,1,response,2025-09-14T09:26:56.666Z
2,30,incongruent,RED,blue,RGB,B,B,1047,1,1,response,2025-09-14T09:27:00.066Z
3,1,neutral,BOOK,blue,RGB,B,B,1297,1,1,response,2025-09-14T09:27:05.833Z
3,2,incongruent,RED,blue,RGB,B,B,663,1,1,response,2025-09-14T09:27:08.600Z
3,3,congruent,BLUE,blue,RGB,B,B,381,1,1,response,2025-09-14T09:27:10.749Z
3,4,incongruent,BLUE,green,RGB,G,G,812,1,1,response,2025-09-14T09:27:12.599Z
3,5,neutral,HOUSE,green,RGB,G,G,447,1,1,response,2025-09-14T09:27:14.883Z
3,6,neutral,HOUSE,green,RGB,G,G,364,1,1,response,2025-09-14T09:27:16.816Z
3,7,congruent,GREEN,green,RGB,G,G,447,1,1,response,2025-09-14T09:27:18.666Z
3,8,neutral,BOOK,red,RGB,R,R,530,1,1,response,2025-09-14T09:27:20.582Z
3,9,neutral,TREE,blue,RGB,B,B,613,1,1,response,2025-09-14T09:27:22.582Z
3,10,neutral,TREE,blue,RGB,B,B,381,1,1,response,2025-09-14T09:27:24.666Z
3,11,incongruent,GREEN,blue,RGB,B,B,563,1,1,response,2025-09-14T09:27:26.532Z
3,12,incongruent,BLUE,red,RGB,R,R,630,1,1,response,2025-09-14T09:27:28.583Z
3,13,congruent,GREEN,green,RGB,G,G,564,1,1,response,2025-09-14T09:27:30.699Z
3,14,neutral,CAT,green,RGB,G,G,347,1,1,response,2025-09-14T09:27:32.749Z
3,15,incongruent,RED,green,RGB,G,G,350,1,1,response,2025-09-14T09:27:34.565Z
3,16,neutral,BOOK,green,RGB,G,G,346,1,1,response,2025-09-14T09:27:36.382Z
3,17,congruent,BLUE,blue,RGB,B,B,695,1,1,response,2025-09-14T09:27:38.199Z
3,18,incongruent,RED,green,RGB,G,G,730,1,1,response,2025-09-14T09:27:40.383Z
3,19,neutral,DOG,red,RGB,R,R,630,1,1,response,2025-09-14T09:27:42.582Z
3,20,incongruent,RED,blue,RGB,B,B,648,1,1,response,2025-09-14T09:27:44.699Z
3,21,congruent,BLUE,blue,RGB,B,B,431,1,1,response,2025-09-14T09:27:46.832Z
3,22,neutral,BOOK,red,RGB,R,G,547,0,0,response,2025-09-14T09:27:48.749Z
3,23,neutral,CAR,blue,RGB,B,B,696,1,1,response,2025-09-14T09:27:50.782Z
3,24,neutral,APPLE,green,RGB,G,G,479,1,1,response,2025-09-14T09:27:52.949Z
3,25,incongruent,BLUE,green,RGB,G,G,380,1,1,response,2025-09-14T09:27:54.915Z
3,26,incongruent,RED,blue,RGB,B,B,746,1,1,response,2025-09-14T09:27:56.782Z
3,27,congruent,RED,red,RGB,R,R,530,1,1,response,2025-09-14T09:27:59.032Z
3,28,neutral,BIKE,red,RGB,R,R,496,1,1,response,2025-09-14T09:28:01.032Z
3,29,congruent,BLUE,blue,RGB,B,B,896,1,1,response,2025-09-14T09:28:02.999Z
3,30,neutral,TREE,red,RGB,R,R,947,1,1,response,2025-09-14T09:28:05.399Z
4,1,congruent,RED,red,RGB,R,R,998,1,1,response,2025-09-14T09:28:10.315Z
4,2,congruent,GREEN,green,RGB,G,G,1031,1,1,response,2025-09-14T09:28:12.782Z
4,3,neutral,CAT,blue,RGB,B,B,663,1,1,response,2025-09-14T09:28:15.282Z
4,4,neutral,CAT,green,RGB,G,G,781,1,1,response,2025-09-14T09:28:17.431Z
4,5,incongruent,BLUE,red,RGB,R,R,697,1,1,response,2025-09-14T09:28:19.682Z
4,6,incongruent,GREEN,blue,RGB,B,B,880,1,1,response,2025-09-14T09:28:21.849Z
4,7,incongruent,BLUE,green,RGB,G,G,1297,1,1,response,2025-09-14T09:28:24.215Z
4,8,neutral,BIKE,blue,RGB,B,NR,2000,0,-1,no_response_timeout,2025-09-14T09:28:26.982Z
4,9,congruent,GREEN,green,RGB,G,G,980,1,1,response,2025-09-14T09:28:32.248Z
4,10,neutral,BOOK,blue,RGB,B,B,746,1,1,response,2025-09-14T09:28:34.715Z
4,11,neutral,BIKE,blue,RGB,B,B,530,1,1,response,2025-09-14T09:28:36.932Z
4,12,incongruent,GREEN,red,RGB,R,R,846,1,1,response,2025-09-14T09:28:38.949Z
4,13,neutral,TREE,blue,RGB,B,B,630,1,1,response,2025-09-14T09:28:41.265Z
4,14,neutral,TREE,red,RGB,R,R,829,1,1,response,2025-09-14T09:28:43.382Z
4,15,incongruent,BLUE,red,RGB,R,R,497,1,1,response,2025-09-14T09:28:45.698Z
4,16,incongruent,RED,green,RGB,G,G,1031,1,1,response,2025-09-14T09:28:47.665Z
4,17,congruent,RED,red,RGB,R,R,580,1,1,response,2025-09-14T09:28:50.165Z
4,18,incongruent,GREEN,red,RGB,R,R,513,1,1,response,2025-09-14T09:28:52.215Z
4,19,neutral,BIKE,blue,RGB,B,B,746,1,1,response,2025-09-14T09:28:54.215Z
4,20,incongruent,RED,blue,RGB,B,B,580,1,1,response,2025-09-14T09:28:56.448Z
4,21,congruent,BLUE,blue,RGB,B,B,397,1,1,response,2025-09-14T09:28:58.498Z
4,22,neutral,BIKE,red,RGB,R,R,1314,1,1,response,2025-09-14T09:29:00.382Z
4,23,neutral,BIKE,green,RGB,G,G,764,1,1,response,2025-09-14T09:29:03.165Z
4,24,neutral,CAT,red,RGB,R,R,612,1,1,response,2025-09-14T09:29:05.415Z
4,25,neutral,HOUSE,blue,RGB,B,B,747,1,1,response,2025-09-14T09:29:07.514Z
4,26,neutral,BIKE,red,RGB,R,G,664,0,0,response,2025-09-14T09:29:09.731Z
4,27,congruent,RED,red,RGB,R,G,714,0,0,response,2025-09-14T09:29:11.881Z
4,28,neutral,DOG,green,RGB,G,G,1447,1,1,response,2025-09-14T09:29:14.081Z
4,29,congruent,GREEN,green,RGB,G,G,513,1,1,response,2025-09-14T09:29:17.015Z
4,30,incongruent,BLUE,green,RGB,G,G,363,1,1,response,2025-09-14T09:29:18.998Z
